DealDate,Apartment,Mansion,Building,House
10505,42.98,57.73,60.44,61.94
10506,44.36,50.02,58.07,62.76
10507,47.86,56.03,56.39,84.62
10508,49.60,61.39,52.91,171.56
10509,43.30,52.10,58.05,41.18
10510,41.49,51.36,63.67,33.39
10511,35.49,50.63,64.47,50.90
10512,42.67,57.22,61.11,49.16
10601,46.92,63.16,61.66,0
10602,40.17,52.03,63.45,83.23
10603,39.64,58.34,61.86,0
10604,46.36,52.97,61.06,92.15
10605,40.28,50.24,55.36,83.88
10606,41.34,54.70,56.60,76.73
10607,48.79,53.58,60.53,0
10608,42.54,67.82,52.51,265.43
10609,44.15,53.14,55.48,83.69
10610,38.69,51.60,55.71,0
10611,35.30,45.66,52.25,85.84
10612,43.90,54.77,57.58,171.11
10701,45.34,57.23,58.87,130.35
10702,43.35,55.29,52.29,92.35
10703,38.08,51.95,69.91,54.53
10704,40.68,50.63,56.80,44.19
10705,41.66,51.35,58.17,73.95
10706,50.71,55.26,62.96,73.42
10707,42.79,57.98,58.92,0
10708,41.59,48.75,63.22,0
10709,45.03,51.95,66.17,0
10710,46.68,61.10,58.92,0
10711,46.76,61.92,65.09,82.37
10712,45.33,56.44,60.04,76.64
10801,40.14,56.01,59.42,0
10802,43.43,53.97,69.07,0
10803,47.11,55.34,62.89,240.23
10804,49.27,59.45,58.21,0
10805,48.72,58.91,58.05,20.08
10806,45.74,57.85,55.26,48.50
10807,46.06,56.30,55.32,81.94
10808,44.11,54.17,57.31,112.44
10809,45.25,60.36,58.02,128.41
10810,44.13,55.51,63.68,0
10811,46.33,54.04,60.84,44.96
10812,46.40,51.82,60.53,67.17
10901,41.18,53.16,59.85,0
10902,45.25,44.38,64.37,66.15
10903,43.29,56.19,61.36,69.21
10904,49.04,52.99,59.38,0
10905,48.24,55.90,66.34,0
10906,53.25,53.56,60.51,0
10907,45.24,57.94,39.12,0
10908,50.52,61.50,64.60,91.66
10909,51.71,61.04,65.57,119.98
10910,46.74,62.04,70.12,64.08
10911,50.93,59.08,70.03,62.44
10912,54.85,62.25,59.50,216.54
11001,51.86,60.71,64.97,79.91
11002,47.43,55.31,71.24,0
11003,56.14,60.77,66.51,44.68
11004,46.79,65.33,59.39,0
