DealDate,Apartment,Mansion,Building,House
10505,39.28,57.44,53.59,69.04
10506,39.53,48.42,56.12,38.73
10507,41.94,53.13,49.79,95.21
10508,40.00,54.27,51.90,129.72
10509,41.41,57.04,52.57,51.96
10510,41.04,52.73,48.75,63.46
10511,37.60,49.01,51.77,93.98
10512,40.15,48.99,48.70,89.04
10601,39.42,50.25,51.09,90.36
10602,37.02,48.59,46.90,71.64
10603,39.82,54.29,51.35,74.96
10604,44.70,53.52,55.42,84.42
10605,40.09,49.30,50.82,78.58
10606,40.60,54.31,51.61,83.13
10607,35.90,53.41,46.76,225.24
10608,41.44,52.62,47.31,93.34
10609,38.54,52.95,49.88,47.83
10610,37.41,49.59,56.52,92.93
10611,41.14,26.37,20.57,102.58
10612,42.34,54.05,45.38,75.06
10701,40.19,54.87,54.37,66.76
10702,38.94,57.89,49.79,110.47
10703,40.91,50.82,41.73,55.42
10704,44.27,50.98,40.46,48.71
10705,38.23,51.00,47.82,68.52
10706,42.18,50.69,46.65,69.27
10707,37.26,46.22,55.17,57.30
10708,41.52,48.52,56.99,92.15
10709,39.33,48.90,50.77,54.19
10710,37.39,57.98,46.27,122.55
10711,41.61,49.64,45.31,36.85
10712,43.02,50.67,50.06,54.48
10801,37.63,46.90,48.97,65.49
10802,38.98,51.20,56.51,65.64
10803,38.20,53.90,53.01,70.38
10804,39.54,54.36,56.65,61.89
10805,38.13,51.60,49.08,70.80
10806,39.06,48.90,59.34,76.86
10807,35.91,57.05,51.53,55.69
10808,39.62,51.17,48.79,238.08
10809,36.69,46.06,52.09,82.88
10810,42.41,51.88,58.88,94.27
10811,42.25,51.74,53.94,55.38
10812,37.92,54.60,53.40,179.49
10901,42.44,45.97,48.38,227.31
10902,37.53,51.19,51.20,68.60
10903,39.56,49.17,50.67,65.03
10904,37.77,51.32,51.70,53.12
10905,42.44,52.41,50.25,96.36
10906,37.80,53.15,51.10,123.41
10907,39.06,49.27,52.22,166.52
10908,38.95,52.20,51.18,151.38
10909,41.74,50.38,59.35,57.98
10910,44.00,51.48,57.52,60.18
10911,41.92,50.82,52.95,69.83
10912,40.53,50.45,59.19,110.13
11001,43.18,52.15,50.22,82.17
11002,43.84,47.87,57.75,65.96
11003,38.83,52.70,54.53,59.85
11004,34.65,40.70,48.74,203.60
