DealDate,Apartment,Mansion,Building,House
2016-05,38.96,46.01,49.59,54.21
2016-06,41.36,48.13,47.15,43.78
2016-07,44.91,41.22,44.72,46.35
2016-08,40.70,45.70,45.38,49.97
2016-09,41.42,42.84,46.93,59.52
2016-10,37.30,40.38,46.23,0
2016-11,35.69,43.55,60.25,51.35
2016-12,38.20,43.19,59.98,101.05
2017-01,40.52,44.35,48.53,37.07
2017-02,40.48,48.59,53.09,37.81
2017-03,36.76,46.26,52.79,57.65
2017-04,40.20,45.77,56.70,46.71
2017-05,41.62,42.47,53.88,59.48
2017-06,37.88,44.79,56.08,37.01
2017-07,39.37,49.73,54.44,43.21
2017-08,41.38,45.27,51.68,60.53
2017-09,37.13,45.61,52.16,48.54
2017-10,39.77,46.51,52.47,44.02
2017-11,38.60,49.38,50.90,55.64
2017-12,39.20,45.77,50.61,83.24
2018-01,39.45,44.90,51.69,38.28
2018-02,40.77,45.61,52.18,53.60
2018-03,38.51,54.70,53.69,62.82
2018-04,39.52,53.21,46.52,63.90
2018-05,39.29,51.67,49.09,91.76
2018-06,39.81,43.19,56.17,51.36
2018-07,38.34,48.16,52.41,47.54
2018-08,40.72,48.68,54.84,40.87
2018-09,36.54,53.26,50.31,0
2018-10,38.58,49.77,49.63,99.77
2018-11,41.26,48.35,51.10,39.97
2018-12,38.58,52.58,49.25,53.51
2019-01,41.86,46.41,49.18,80.52
2019-02,37.82,49.93,48.00,28.04
2019-03,39.47,47.21,51.55,47.46
2019-04,40.58,48.81,48.27,270.00
2019-05,41.06,47.99,49.18,46.58
2019-06,40.20,45.85,50.89,69.16
2019-07,38.91,45.98,50.43,41.20
2019-08,40.46,44.64,47.84,70.00
2019-09,41.41,53.12,50.32,46.08
2019-10,41.31,47.57,49.04,41.16
2019-11,38.98,48.09,51.30,48.68
2019-12,39.98,46.36,48.02,62.13
2020-01,41.79,52.70,52.63,40.98
2020-02,39.43,50.84,48.93,43.42
2020-03,37.96,46.17,57.91,39.84
2020-04,39.59,46.52,52.94,67.34
2020-05,43.02,48.12,53.28,51.98
2020-06,41.35,48.44,51.81,40.08
2020-07,38.75,53.88,52.01,58.74
2020-08,40.03,53.88,51.56,44.79
2020-09,44.51,51.14,54.60,82.50
2020-10,45.92,49.34,53.09,53.67
2020-11,45.19,49.21,53.84,50.57
2020-12,45.22,48.02,55.72,86.30
2021-01,41.71,51.51,55.13,45.37
2021-02,47.26,54.98,49.52,45.96
2021-03,44.06,50.31,53.57,40.74
2021-04,43.10,48.46,54.65,46.47
