DealDate,Apartment,Mansion,Building,House
10505,41.99,55.13,58.22,62.62
10506,46.24,54.40,62.48,53.68
10507,44.06,54.13,66.02,54.32
10508,42.06,50.68,61.13,35.10
10509,43.11,54.15,58.57,0
10510,38.08,53.79,51.87,86.89
10511,41.99,57.44,58.36,126.52
10512,42.17,51.90,58.20,93.92
10601,39.28,50.38,57.95,0
10602,40.41,55.97,59.42,67.80
10603,41.12,53.33,60.47,139.15
10604,43.84,57.61,57.85,60.27
10605,42.80,59.30,58.85,37.90
10606,40.78,57.27,61.70,0
10607,41.74,58.74,60.83,51.23
10608,41.24,53.87,62.86,67.53
10609,43.90,55.95,63.84,86.68
10610,40.11,50.71,60.21,45.14
10611,43.36,48.85,62.65,98.29
10612,42.23,54.57,64.07,133.73
10701,43.81,55.59,64.44,65.92
10702,43.10,54.44,67.58,0
10703,41.33,51.61,59.49,0
10704,40.88,56.83,58.03,102.82
10705,43.05,51.89,60.47,52.52
10706,43.16,52.94,61.44,57.41
10707,40.26,51.15,61.34,126.33
10708,43.43,56.25,62.28,64.65
10709,41.80,50.88,57.13,50.97
10710,42.89,55.21,57.95,51.84
10711,40.42,53.96,61.60,45.78
10712,44.97,55.43,69.78,0
10801,46.35,57.47,66.19,65.76
10802,45.90,56.54,63.31,73.32
10803,45.93,54.50,66.24,53.29
10804,44.81,55.95,65.50,91.37
10805,42.70,54.46,68.11,109.69
10806,42.73,56.84,61.46,44.66
10807,42.31,54.89,62.99,42.52
10808,42.45,54.06,65.56,53.59
10809,42.87,52.88,57.78,59.14
10810,43.28,54.37,66.80,67.62
10811,42.95,52.43,63.94,54.62
10812,42.15,55.68,61.84,46.56
10901,43.15,50.79,62.42,53.79
10902,43.83,58.17,61.43,42.89
10903,44.78,58.93,61.43,73.34
10904,44.28,56.24,63.16,72.28
10905,42.71,52.82,65.03,120.94
10906,43.14,56.43,64.66,70.11
10907,47.99,58.85,65.59,75.78
10908,45.07,61.25,65.90,74.92
10909,45.98,55.94,68.94,90.02
10910,48.23,59.08,69.47,48.60
10911,46.70,57.80,63.62,123.50
10912,47.70,58.57,69.06,83.47
11001,46.16,57.86,67.86,49.54
11002,47.38,58.75,70.31,35.40
11003,48.76,62.10,66.08,69.27
11004,45.75,69.89,69.80,81.07
